id,Observee2,Observee4,Session_1,Session_2,Session_3,Session_4,Seeking_contagion,Second_contagion,Averse_contagion,First_contagion,Obs_averse,Obs_seeking,Domain
1,-0.015,0.02,-0.00336984955182703,-0.0312258125492614,-0.0367976669982235,-0.0236092948131965,0.013188372185027,0.013188372185027,0.0278559629974344,0.0278559629974344,-0.015,0.02,1
2,0.02,-0.015,0.00498896960369891,0.00842386438111699,6.77332173826099e-05,-0.00725076077432952,0.00343489477741809,0.00731849399171213,0.00731849399171213,0.00343489477741809,-0.015,0.02,1
3,-0.015,0.02,-0.00724074829948905,-0.00778905893570255,-0.0080317518647061,-0.0100469052803386,-0.00201515341563245,-0.00201515341563245,0.000548310636213504,0.000548310636213504,-0.015,0.02,1
4,0.02,-0.015,-0.00394687812231442,0.0031522275711573,-0.00142992035705822,-0.00510842054647517,0.00709910569347172,0.00367850018941695,0.00367850018941695,0.00709910569347172,-0.015,0.02,1
5,-0.015,0.02,0.00384050758930108,-0.0033673377782526,-0.00134673320346635,0.00394170111091049,0.00528843431437684,0.00528843431437684,0.00720784536755368,0.00720784536755368,-0.015,0.02,1
6,0.02,-0.015,-0.00606669393153488,-0.00653360496847454,-0.00680345579464007,-0.0124249534210623,-0.000466911036939668,0.00562149762642225,0.00562149762642225,-0.000466911036939668,-0.015,0.02,1
7,-0.015,0.02,-0.00201112452694632,-0.0190901942469259,-0.04,-0.00354334806840165,0.0364566519315984,0.0364566519315984,0.0170790697199796,0.0170790697199796,-0.015,0.02,1
8,0.02,-0.015,-0.00815261317507549,-0.00978504060316244,-0.00790261405679032,-0.0104759086961895,-0.00163242742808694,0.00257329463939916,0.00257329463939916,-0.00163242742808694,-0.015,0.02,1
9,-0.015,0.02,-0.010285770316753,-0.0202719753894316,-0.0217298097860777,-0.0156002081194995,0.0061296016665782,0.0061296016665782,0.00998620507267861,0.00998620507267861,-0.015,0.02,1
10,0.02,-0.015,-0.00637634283417105,-0.00200389176857295,0.00378205841824202,-0.00192596652459634,0.00437245106559811,0.00570802494283836,0.00570802494283836,0.00437245106559811,-0.015,0.02,1
11,-0.015,0.02,-0.03250326052514,-0.04,-0.0231112343789375,-0.020430704417921,0.00268052996101644,0.00268052996101644,0.00749673947485996,0.00749673947485996,-0.015,0.02,1
12,0.02,-0.015,-0.00759018403765268,-0.0076058234280145,-0.00723080950110749,-0.00720543934644335,-1.56393903618197e-05,-2.53701546641385e-05,-2.53701546641385e-05,-1.56393903618197e-05,-0.015,0.02,1
13,-0.015,0.02,-0.00747231073588756,-0.00981567759132583,-0.00134673871393662,0.00630918603437442,0.00765592474831103,0.00765592474831103,0.00234336685543827,0.00234336685543827,-0.015,0.02,1
14,0.02,-0.015,-0.00337297722004587,-0.00305463415660238,-0.00322796389829601,-0.00298879472052439,0.000318343063443488,-0.000239169177771617,-0.000239169177771617,0.000318343063443488,-0.015,0.02,1
15,-0.015,0.02,-0.00193011730261922,-0.00577078716961178,-0.00313983224168551,-1.4149432864312e-05,0.0031256828088212,0.0031256828088212,0.00384066986699256,0.00384066986699256,-0.015,0.02,1
16,0.02,-0.015,-0.00595689490925117,-0.0035855589837981,-0.0134812975915158,-0.0200674473954892,0.00237133592545306,0.00658614980397337,0.00658614980397337,0.00237133592545306,-0.015,0.02,1
17,-0.015,0.02,-0.0094850182405093,-0.010082649081975,-0.013250522849535,-0.00441348532001773,0.00883703752951729,0.00883703752951729,0.000597630841465671,0.000597630841465671,-0.015,0.02,1
18,0.02,-0.015,-0.00134674029131006,-0.00291113300334293,0.00286272976174802,-0.0038702862860453,-0.00156439271203287,0.00673301604779332,0.00673301604779332,-0.00156439271203287,-0.015,0.02,1
19,-0.015,0.02,0.00738508667645585,-0.00644457778577849,-0.00916890327889701,-7.93301983812408e-05,0.00908957308051577,0.00908957308051577,0.0138296644622343,0.0138296644622343,-0.015,0.02,1
20,0.02,-0.015,0.00888847598181534,0.0145583951423718,0.00240208846546088,-0.0017369310188966,0.00566991916055641,0.00413901948435748,0.00413901948435748,0.00566991916055641,-0.015,0.02,1
21,-0.015,0.02,-0.00310032651472003,-0.00744348987756447,-0.00321005366421914,-0.00127366789911935,0.00193638576509979,0.00193638576509979,0.00434316336284444,0.00434316336284444,-0.015,0.02,1
22,0.02,-0.015,-0.0170383888440628,-0.00683632279518929,-0.00858612205960183,-0.00858594306189953,0.0102020660488735,-1.78997702297498e-07,-1.78997702297498e-07,0.0102020660488735,-0.015,0.02,1
1,-0.015,0.02,0.010005746109612,-0.0147129700437518,-0.0230847054069327,-0.0167839907945691,0.00630071461236366,0.00630071461236366,0.0247187161533638,0.0247187161533638,-0.015,0.02,2
2,0.02,-0.015,0.00135085632905664,0.00256460581016719,0.000604078196916433,-0.00298962859058122,0.00121374948111056,0.00359370678749765,0.00359370678749765,0.00121374948111056,-0.015,0.02,2
3,-0.015,0.02,-0.000533247251641637,-0.0180114032196346,-0.0115394008675797,-0.00513777815641596,0.00640162271116379,0.00640162271116379,0.017478155967993,0.017478155967993,-0.015,0.02,2
4,0.02,-0.015,0.00668266063725832,0.00194144284441226,0.00351971459936393,0.00454509126096498,-0.00474121779284606,-0.00102537666160105,-0.00102537666160105,-0.00474121779284606,-0.015,0.02,2
5,-0.015,0.02,0.00277015570770241,0.000141681374130236,-1.41235602075566e-05,0.00246852949698541,0.00248265305719297,0.00248265305719297,0.00262847433357217,0.00262847433357217,-0.015,0.02,2
