id,Observee2,Observee4,Session_1,Session_2,Session_3,Session_4,Seeking_contagion,Second_contagion,Averse_contagion,First_contagion,Obs_averse,Obs_seeking,Domain
1,-0.232142857142857,0.303571428571429,0.0178571428571428,-0.357142857142857,-0.339285714285714,-0.321428571428571,0.0178571428571428,0.0178571428571428,0.375,0.375,-0.232142857142857,0.303571428571429,1
2,0.339285714285714,-0.232142857142857,0.0892857142857142,0.142857142857143,0.0178571428571428,-0.0892857142857143,0.0535714285714286,0.107142857142857,0.107142857142857,0.0535714285714286,-0.232142857142857,0.339285714285714,1
3,-0.232142857142857,0.321428571428571,-0.0892857142857143,-0.125,-0.125,-0.178571428571429,-0.0535714285714286,-0.0535714285714286,0.0357142857142857,0.0357142857142857,-0.232142857142857,0.321428571428571,1
4,0.321428571428571,-0.232142857142857,-0.125,0.0357142857142857,0.0178571428571428,-0.0892857142857143,0.160714285714286,0.107142857142857,0.107142857142857,0.160714285714286,-0.232142857142857,0.321428571428571,1
5,-0.232142857142857,0.339285714285714,0.0535714285714285,-0.0357142857142858,0.0178571428571428,0.125,0.107142857142857,0.107142857142857,0.0892857142857143,0.0892857142857143,-0.232142857142857,0.339285714285714,1
6,0.303571428571429,-0.232142857142857,-0.0535714285714286,-0.0714285714285715,-0.0892857142857143,-0.160714285714286,-0.0178571428571428,0.0714285714285715,0.0714285714285715,-0.0178571428571428,-0.232142857142857,0.303571428571429,1
7,-0.232142857142857,0.321428571428571,-0.0178571428571429,-0.25,-0.410714285714286,-0.0714285714285715,0.339285714285714,0.339285714285714,0.232142857142857,0.232142857142857,-0.232142857142857,0.321428571428571,1
8,0.339285714285714,-0.232142857142857,-0.125,-0.178571428571429,-0.196428571428571,-0.232142857142857,-0.0535714285714286,0.0357142857142857,0.0357142857142857,-0.0535714285714286,-0.232142857142857,0.339285714285714,1
9,-0.232142857142857,0.321428571428571,-0.125,-0.285714285714286,-0.303571428571429,-0.25,0.0535714285714286,0.0535714285714286,0.160714285714286,0.160714285714286,-0.232142857142857,0.321428571428571,1
10,0.321428571428571,-0.232142857142857,-0.125,-0.0357142857142858,0.0178571428571428,-0.0535714285714286,0.0892857142857142,0.0714285714285715,0.0714285714285715,0.0892857142857142,-0.232142857142857,0.321428571428571,1
11,-0.232142857142857,0.303571428571429,-0.339285714285714,-0.392857142857143,-0.339285714285714,-0.321428571428571,0.0178571428571428,0.0178571428571428,0.0535714285714286,0.0535714285714286,-0.232142857142857,0.303571428571429,1
12,0.339285714285714,-0.232142857142857,-0.125,-0.107142857142857,-0.0892857142857143,-0.0892857142857143,0.0178571428571428,0,0,0.0178571428571428,-0.232142857142857,0.339285714285714,1
13,-0.232142857142857,0.303571428571429,-0.125,-0.160714285714286,0.0178571428571428,0.0892857142857142,0.0714285714285714,0.0714285714285714,0.0357142857142858,0.0357142857142858,-0.232142857142857,0.303571428571429,1
14,0.303571428571429,-0.25,-0.0535714285714286,-0.0535714285714286,-0.0535714285714286,-0.0535714285714286,0,0,0,0,-0.25,0.303571428571429,1
15,-0.25,0.321428571428571,-0.0178571428571429,-0.0892857142857143,-0.0535714285714286,0.0178571428571428,0.0714285714285715,0.0714285714285715,0.0714285714285714,0.0714285714285714,-0.25,0.321428571428571,1
16,0.321428571428571,-0.232142857142857,-0.125,-0.0178571428571429,-0.232142857142857,-0.267857142857143,0.107142857142857,0.0357142857142857,0.0357142857142857,0.107142857142857,-0.232142857142857,0.321428571428571,1
17,-0.232142857142857,0.303571428571429,-0.160714285714286,-0.160714285714286,-0.160714285714286,-0.0535714285714286,0.107142857142857,0.107142857142857,0,0,-0.232142857142857,0.303571428571429,1
18,0.339285714285714,-0.232142857142857,0.0178571428571428,0.0178571428571428,0.160714285714286,0,0,0.160714285714286,0.160714285714286,0,-0.232142857142857,0.339285714285714,1
19,-0.232142857142857,0.321428571428571,0.125,-0.142857142857143,-0.160714285714286,-0.0357142857142858,0.125,0.125,0.267857142857143,0.267857142857143,-0.232142857142857,0.321428571428571,1
20,0.303571428571429,-0.232142857142857,0.160714285714286,0.214285714285714,0.0535714285714285,-0.0357142857142858,0.0535714285714286,0.0892857142857143,0.0892857142857143,0.0535714285714286,-0.232142857142857,0.303571428571429,1
21,-0.232142857142857,0.303571428571429,-0.0535714285714286,-0.107142857142857,-0.0535714285714286,0,0.0535714285714286,0.0535714285714286,0.0535714285714285,0.0535714285714285,-0.232142857142857,0.303571428571429,1
22,0.339285714285714,-0.232142857142857,-0.303571428571429,-0.125,-0.196428571428571,-0.196428571428571,0.178571428571429,0,0,0.178571428571429,-0.232142857142857,0.339285714285714,1
1,-0.232142857142857,0.321428571428571,0.0892857142857142,-0.25,-0.339285714285714,-0.303571428571429,0.0357142857142857,0.0357142857142857,0.339285714285714,0.339285714285714,-0.232142857142857,0.321428571428571,2
2,0.321428571428571,-0.232142857142857,0.0178571428571428,0.0357142857142857,0.0178571428571428,-0.0178571428571429,0.0178571428571428,0.0357142857142858,0.0357142857142858,0.0178571428571428,-0.232142857142857,0.321428571428571,2
3,-0.232142857142857,0.303571428571429,-0.0178571428571429,-0.232142857142857,-0.196428571428571,-0.0357142857142858,0.160714285714286,0.160714285714286,0.214285714285714,0.214285714285714,-0.232142857142857,0.303571428571429,2
4,0.339285714285714,-0.232142857142857,0.0892857142857142,0.0357142857142857,0.0535714285714285,0.0714285714285715,-0.0535714285714285,-0.0178571428571429,-0.0178571428571429,-0.0535714285714285,-0.232142857142857,0.339285714285714,2
